text,sentiment,source
Waking up and going to work. I hate it and would so much rather go to church today. Maybe next Sunday ,negative,twitter
@olafsearson It was brilliant thanks!  Incredibly burnt and very broke but it was worth it!,positive,twitter
@TheRealDogBlog NOT US  i WiSH....i LiKE TO CHEW MOM'S NEWSPAPER!!! NOW SHE JUST BRiNGS ONE HOME AND WONT LET ME EAT iT...NOT FAiR!,negative,twitter
@shaundiviney wish i could come ,negative,twitter
@xombienationnn buy eeeeet!  You guys didn't do anything did you? I don't really trust 'friends with benefits' things. Too unreliable.,positive,twitter
curse my new body clock! i can no longer sleep in   but i did enjoy a vanilla soy latte today. mmm...soy,negative,twitter
I need to go to bed earlier ,negative,twitter
Just got done watching Kung Fu Hustle and hanging out with @DaveSormillo  misses Spring Camp wish it was longer..=/,positive,twitter
@StoneZoneShow ME TOO!!!! ,positive,twitter
i feel like going to the beach today ,positive,twitter
"@sngy AND, I really like tweeting with @andyroddick and other local Chicago institutions like my favorite hot dog stand. ",positive,twitter
@MysteryHeaven thanks for following me! ,positive,twitter
"okay, itw done. hated it! &amp;what a bitch i talked to! there's no way i'm gonna work at mcdonalds! no no! rather stay at the bakery ",positive,twitter
Finally done! Time for a shower! Then dinner. ,positive,twitter
My car broke down.   Time to start looking at getting another.  If its not one thing its another.,negative,twitter
I still wish I could go outside...  I also wish I could bring Bebbi out. Aaaah... This just makes me hate him even more!,negative,twitter
I'm at work watching other people anjoy dinner  I'm starving!,negative,twitter
Super tired  I need relaxing time.. Had a very good day yesterday.. Thanks to my mff and family ?,negative,twitter
Ugghh...Stupid Tv on the blink...westinghouse tech supports sucks ,negative,twitter
y am i in school again??? lol studyn while my peeps r out ,negative,twitter
"Don't you just love lazy, rainy Sundays? ",positive,twitter
It's so hottttt in my house  ,negative,twitter
"@yikes77 Ok, no puking....will get that all out before I leave ",positive,twitter
@Puddytatpurr Yes it gets you that way! I was lucky enough to come home with my wheel  What about an ashford traveller one on ebay at mo,positive,twitter
@jonathansutton hahahaha... that's the funniest thing ever. bek's always been the mom of the group. ,positive,twitter
"@panacea81 ohh, nice  i'm cuorious. now it's time for me to sleep, school in 8 hours  nighy nigh, talk 2 you soon ",negative,twitter
going to the dentist. ,negative,twitter
@reggaeluv2000 haha it's great. but i slept horribly last night.  ,negative,twitter
haha  the powers finally back on! . . . annd i stayed up till midnite just waitinn for it xD,positive,twitter
@Kelsayy Hey Monday This Weekend?? ,positive,twitter
I Love the lady from the Progressive commercials she's so funny ,positive,twitter
Coffee from my cup tastes oh so sweet!  Thanks @thisisntshannon and @alfredjohn! ,positive,twitter
chilln at the crib wit the fam until i go to work  .....,negative,twitter
@hustlepearl soooooo hating on you! ,negative,twitter
@mylyfesongz How was the club? I wish i went to UPtown now. Im mad! ,negative,twitter
@SOxSOPHiA joe was blocking her. so you could only see half of her. it makes me happy all of them!  i screamed &quot;OH MY JONAS! JT!&quot; the,positive,twitter
Sleeeepy Time for @R3s3rvo1rD0g  nighty night SuperChillaxMacaroni Man  &gt;;-) You should be home soon  â« http://blip.fm/~88wd2,positive,twitter
ha grrr work today!! Going to Daphne tonight ,positive,twitter
"content with being an old person that sits, read, writes, and drinks coffee....with a little adventure thrown in here and there ",positive,twitter
@darktek13 Hahaha. I'm excited cos V's coming to visit us. When are u coming??? ,positive,twitter
@andychandleruk: you're mean -.- you're on at myspace but you don't write back  @Conni_Cherry: ich liebe dich â¥ =D,negative,twitter
@ale_martins Yeahh Roger rules ! ,positive,twitter
@vboykis Use Openoffice. ,positive,twitter
@GO_1969 oh poor you. wrap up and have a hot toddy ,positive,twitter
"To all of my Twitter followers out there, THANK YOU AND GOD BLESS YOU for all of the wonderful and inspiring comments you post to me!!! ",positive,twitter
why do i loose a follower or 2 every day? u guys dont love me  .. am i not entertaining enough ??,negative,twitter
@scotjarrett happy belated Ruby day ,positive,twitter
Milano was sooo amazing  ! thank you so much for everything Jacopo!,positive,twitter
on the was to dover international speedway!! heck ya!! ,positive,twitter
how is everyone today? i have been stressed ,negative,twitter
lol I had Safe and sound stuck in my head the entire day today and @Teapartyforone posted a pic of it ,positive,twitter
@carolinejjordan sounds like you had a good weekend then lol  xx,positive,twitter
@Marc_Wilson So how do we get rid of that error?  Sounds like there's (currently) no option to add tethering to Everything Data plans?  ,negative,twitter
@Kayleigh_Staack KAYLEIGH!! josh was not there 2night but he did ring me to see how i was ,positive,twitter
"Lost is the best TV series there is.First of all,it has GREAT actors and wonderful directing.The writing is a very controversial issue because in the first two seasons the writing was extraordinary but after season 3 the writing became highly complex.For instance,who is Jacob?Why are there polar bears on the island?What's the fog?How did the island disappear?Who is Richard Alpert?A lot of people think that the writers are lost and that they have raised a lot of questions and mysteries that they can't explain.I believe these people are wrong.I have confidence in the writers.I think that if the mysteries are revealed from now all the charm of the series will be gone.Anyway,lost is undeniably the greatest TV series and it will continue to be for a long time.",positive,imdb
watching keeping up w/ the kardashian's. I love this show. ,positive,twitter
@jaskirat So it's going to be a 500 + 250 + 1 TB for me ,positive,twitter
off today... waiting to see if anyone stops by ,positive,twitter
@mattwalshcv yes man ! i'm in the move now ,positive,twitter
@IMBurgalicious  watching &quot;operation repo&quot;.  Salivating over Froy.  Haha...gots work in the morning.  ,negative,twitter
"@recamel I had made a few lists before during a new moon thing, but thinks I write tend to be Super ambitious ",positive,twitter
@kerryallen Some Presidents base their entire regime on a mindset like that...  Yaaay. Hee!,positive,twitter
@gabriellaopaz @dnablyde I've just had some toast ,negative,twitter
@jimbob1000 Jack Tweed 1 is from Digital Spy that it and the rest are from me and they will be from now thats the point of this new blog ,positive,twitter
I love Kelly Clarkson but I don't think she should do the soundtrack for New Moon movie! http://bit.ly/3e8BPr I'm going to miss Paramore ,negative,twitter
I miss ellyza. againnnnnn.  hope you're fine darling. I &lt;3 you.,negative,twitter
"stupid seat belt ticket, always wear your seat belt cause its law, AND THE TICKET IN MN IS EXPENSIVE!!!! ",negative,twitter
"Good news: 3lbs lost at fat club (after a weekend boozing, no less). Bad news: knee knackered again while running  Might be BUPA time...",negative,twitter
@sikkmentality Really why not? damn my gay cuzo worked at the landmark bb. but its true no more us in school together ,negative,twitter
@aneD we do seem to have that sorted here in the UK. There must be something like Shiply.com in US? ,positive,twitter
@andyclemmensen im suree she would hahah :S if she is the kind of chick you like lol ,positive,twitter
So much for that.... Horrible run. My legs and joints feel like brittle pieces of wood that are on the verge of splintering. Pain... ,negative,twitter
Home alone again ,negative,twitter
so up set that I just broke a nail.. UgH!!!! ,negative,twitter
"@never_jen_land I could say yes, but no I'm sorry.Itried but it didn't work  But it's something funny U'll see ",negative,twitter
@charlie_black ohhhhh snapp. Sounds like you got it all planned out.  tell me how the movie is.,positive,twitter
Good Morning Twitters!  Do You have a Trouble Tree? This man does  http://bit.ly/Jsxm,positive,twitter
@iMBA want to attend tomo man but hopefully next time its on a sunday! m workin tomo ,negative,twitter
"scratch that. is going to Berkeley. Only, if I decided earlier ",negative,twitter
@sabsthegreat  save me?,negative,twitter
I hate when this is brought up. I always feel like a little girl ,negative,twitter
is not in a good mood ,negative,twitter
Why is it still so warm outside? ,negative,twitter
@lalaLiiindsey sadness ,negative,twitter
"Everyone close to me is a wreck. No matter how hard I try to help, it just wont work. They make my life feel like I'm literally in hell ",negative,twitter
headache ,negative,twitter
@SallyMcGraw she got bored of the old blog ,negative,twitter
@sassyshannon Ok thanks ,positive,twitter
"Okay, NOW I has iPhone 3gs. So does @decryption. But not @xenex ",negative,twitter
@tesfalatham all in good fun...  i made sketti sauce!,negative,twitter
Have a couple of limbs down on the big tree in the side yard.  Arborist is supposed to come today to give us an estimate. ,negative,twitter
listening to F.T Island - Until You Return  LEARNING INDONESIAN PUBLICITY IS BOORIIING~ Hahaha,positive,twitter
Oh what a surprise (not); Vettel has less fuel than Brawns ,positive,twitter
just split my third pair of jeans...   maybe its time to start buying anything other then skinnies,negative,twitter
"Lol, talking about twitter with gramma mary. Lol. Suppp&lt;33 i miss pumpkin ",negative,twitter
@foodgeek14 Nooo!  Say it isn't so. ,negative,twitter
i can't believe my little brother is married... ,positive,twitter
"@Ambercat1 I'm taking a zumba class next week.  On a Saturay, just in case I can't move the next day I can sleep in ",positive,twitter
@thechetan Can yu make 1 for me  i lost alot money dix tym ,negative,twitter
"@cuddlemonsterrr don't worry alyssaaaa, you will get your turkey legs and unshowered men fix nexy year!  promise ",positive,twitter
I just discovered where my replies are at in Twitter... after 76 updates. D'oh! I got 4 replies... Cool! ,positive,twitter
@indiespotting thank you! ,positive,twitter
feels so sad today. ngayon ko lang narealize how sad it is  http://plurk.com/p/11i9a3,negative,twitter
with an amazing and surprizing end haha ,positive,twitter
Goodmorning my lovely tweets!  What's on the agenda 4 today?,positive,twitter
I am awake. I don't want to be but I am.  Oh well...sleep when I die.,negative,twitter
@ashleytisdale CONGRATS on winning Breakthrough Performance Female!!!! u totally deserved ,positive,twitter
@megm3g mmm my art was kinda crap and dan and i didnt really do anything  ttyl xo,negative,twitter
"!@lolunix both #! and !@ are unsearchable too, thanks to regex strips ",positive,twitter
Finally out of work. I missed the better half of a beautiful day ,negative,twitter
Knowing your sick but you still have to go into work b/c your not on your death bed.. Ugh!!!!!! ,negative,twitter
@BLAHSODMG Heck yeah I am for right now.  Have a little bit left but nothing major. Had that administrative/accountant hat on today. ,positive,twitter
work was longgg. looking forward to tomorrows activities. not looking forward to thursdays exam and work again ,negative,twitter
@iileana yess!!!! but im having a big headache no me dejan estudiar !!!!!! y cuando tengo tiempo me molestan los demas  they are anoying!,negative,twitter
Days are getting hotter and hotter everyday  ,negative,twitter
"@uniqueluvsday26 awww,dont stress over it too much. you'll do fine  Get rid of those nerves, they dont help!!!",positive,twitter
Or it will just be fuzzy ~frownage~ ~collects up some of your stardust &amp; puts it in my pocket for a rainy day~ ,positive,twitter
have to learn for school now ,negative,twitter
huh! I didn't even realize that weekend has come and almost gone..   I want my weeekends offffffffffffff ..,negative,twitter
UW SOFTBALL NATIONAL CHAMPS ,positive,twitter
"Just finished round 1 of editing my paper, now for Freebirds! ",positive,twitter
"....because if I was, I may have wished it was me being crucified on a wooden cross! I'm still trying to determine the plot of this movie - and I'm being ""generous"" that there was even a plot to begin with. As previously mentioned, it's a misnomer on the cover of the DVD that Richard Dreyfuss is actually the star. He was barely in the movie. And if he was indeed ""frustrated"" as the back cover indicated he was, well, that's probably because he said YES to be in this disaster of a movie and couldn't get out of it! The movie really seemed to focus on Jared Martin, and what his role in the movie was supposed to be, other than the extreme close -ups, was not as big of a mystery as to what Gene Barry's role actually was - or wasn't. And speaking of ""big""...whomever had the bright idea to fit Gene Barry in the Humpty Dumpty attire, which showcased his trousers literally pulled up to his chin, should be sentenced to hard time by watching this movie stoned sober. I could go on and on about how horrendous this movie was, from the dialogue not matching the ""actors'"" mouths (think Clutch Cargo), to the erratic jumping from scene to scene (again, being generous even calling the frames of pictures ""scenes""), to the lack of a plot.... However, if you're into bad early 70s genre and if you're in a cottage in Michigan with nothing but this movie and a box of kid & cat pictures, I recommend having a good bottle of wine before you embark on this weird ride of a movie because you'll be thankful that you may not remember it the next day!",negative,imdb
"Canï¿½t read my e-mail, Iï¿½m sunburned and I have a migrane  sucky sunday.",negative,twitter
&quot;There's always next year kid&quot;....thats what they all say ,negative,twitter
"yeah back online, lost internet connection last night ",negative,twitter
@MedJ911 au fait http://tnlabs.org/tweets.jsp  est un agrÃ©gateur comme twatweet mais realtime en plus the times updates automatically ,positive,twitter
is saving up 'till HK. ,positive,twitter
good morning every1 ,positive,twitter
twitter is messed up on my computers ,negative,twitter
@damarisens That sucks  Hulu maybe? Some house?,negative,twitter
@epicturtle Uh oh. ,negative,twitter
@tyroncaliente And here's my hello tweet to you! ,positive,twitter
@NatalieAnnMusic NOOOOOOOO!!!!!!  ... um oh wait ... no that's ok  ... did i mention that i miss you?,positive,twitter
yes. super cute. haha. cute voice dn. kainlove. ,positive,twitter
"my tummy hurts  &amp;my dad told me to go to bed, but i'm rebelling ;D",negative,twitter
Slept in  oh well it felt so good!,negative,twitter
Depressed because i can't find anyone on twitter ,negative,twitter
at Drury Hotel in Atlanta...... headed for VA... last internet for days ,negative,twitter
last class 2 day ,positive,twitter
wishes the cavs could have another chance.  . dang...,negative,twitter
"Schoooool Soon, Exam At 9 Arghhhhh ",negative,twitter
@jeniwilliams i wish i would of known a couple weeks ago. you guys could have used all our stuff until adam and rhyan get hitched ,negative,twitter
@mj_20_sweet wow... lady mj? wahehe... ,positive,twitter
"@butitcouldstill Welcome to the bed weather, Nice! Remember you're sleeping for two, too. Hugs ",positive,twitter
"Morning all! Its my mum's birthday today, I'm supposed to be going walking in N.Wales with her but its raining alot...... ",negative,twitter
erm sorry to have worried everyone that last tweet was meant for someone else in my moment of insanity i txtd it wrong ... sowwy ,negative,twitter
"@OhAngie Bank = Awesome! I was thinking of the Bugaloos, too.  Any girl in a cape &amp; gogo boots is hot.",positive,twitter
My pants just ripped!  &lt;3 Kirsten,negative,twitter
@zzybug thankfully it's just a really bad sinus infection. they're just watching out for me since i've traveled recently. thanks though ,positive,twitter
preparing for my endsems.... y do ppl hv endsems.. ,negative,twitter
Yo twitters we @ Cafe Omar for a &quot;So Edible&quot; event live performance from @InternationalH Let's Go!!!  ;),positive,twitter
#onthelow I hide his keys and cell phone just to get him to stay longer ,negative,twitter
@McFLYFan_Katie yeah cool    wats happening tomoz? anything good or just college or what ever,positive,twitter
@marleyuk have been well. I just noticed I had unfollowed you somehow.  I hope you have been having a good time across the pond,negative,twitter
Got that new &quot;i'm a single girl&quot; swagg! ,positive,twitter
@DaveLair I dunno  But that pretty much eliminates any and all reason for watching it ,negative,twitter
Photo: Credit to Cathy for the picture  Â SO. All Time Low last night. It wasâ¦.. wow. We caught the train at... http://tumblr.com/xpt1yt9vg,positive,twitter
my semiformal is tonight  i have a really busy week ahead of me,positive,twitter
@jeffhardybrand well we truly appreciate everything you go through to entertain us ,positive,twitter
@chromachris  Clean Me!,negative,twitter
"@DwightHoward good luck to ur friends!!! Cant wait for the draft, mad chicago is at the bottom of the totem pole tho ",negative,twitter
I've been sleeping with the lights on so if i wake in the night your picture is clearly in sight ,positive,twitter
Last open mic with @stephdewhurst ever today. So sad! ,negative,twitter
Nooo! Im sorry we can do fandango tonight  i was hoping u were in town cause i want you to come to drive in,negative,twitter
"Ralph Nader Accuses Terry McAuliffe of Suppressing Votes   http://bit.ly/CnJZv  //Sadly, I'd bet that actually works for Terry ",negative,twitter
fmlfmlfml.twilight. ,positive,twitter
"@deiknuo no, true enough!!  like cheese on toast for instance ",positive,twitter
"Cheah, I am finally done with finals! no more classwork for High School anymore ",positive,twitter
Im burnt n sore  wanna go out too!,negative,twitter
"@louisecampbell Thanks Louise! Great to see you last night, hope you had a good one? ",positive,twitter
"Hoping the situation in Iran has a favorable outcome &amp; that the violence subsides soon. If not, we may need &quot;to go find WMD in Iran.&quot; ",negative,twitter
@mileycyrus i already do this ,positive,twitter
"Feeling sick, not so happy been crying all day feel like shyt! ",negative,twitter
Only 7 votes so far  Please consider voting for the Gen Y Extravaganza at the YOUR Symposium. Thanks! http://bit.ly/kB34W,negative,twitter
@spr33 Is'nt that a bit wrong though - pretending you want to leave? What deal did you get? I'm listening LOL  You with VM also?,positive,twitter
wicked cramps ,negative,twitter
"Baked some cookies, sooo good. I'm sorry but I am the best baker fo real. Now if I only knew how to cook, lol. Well like meat n stuff. ",negative,twitter
"OH, @Ijustine, I cracked up laughing when you said, &quot;OMG! A homeless man just went poop beside my car.&quot; bless you girllllll.  ",positive,twitter
"@Raffaa that dude is dope supa fresh, ahhh!  mwuahahahaha!!",positive,twitter
is revising for biology B1b retake    what a brilliant friday night :L,negative,twitter
@MeganCade I wish I could come too!!!  sad. UP looks so good!,negative,twitter
"@1234569or10 - I love you so much. We're coming this Saturday &amp; leaving next Wednesday. So you can have me Sunday, Monday, &amp; Tuesday. ",positive,twitter
at GMA for Green Day! ,positive,twitter
http://www.potatopotahto.blogspot.com/ check this out and comment on it  please ^.~,positive,twitter
THANK YOU  @Blackittyblack @retrothreadz @cheepvintage @VSGgirl @sairuhjayne @lolavintage @VonThompson @northernsweetie @artBeatOk,positive,twitter
"Home from lunch with Molly, It was a great time!! We ate at Scramblers in Lancaster. it was amazing!!  mmm...Laundry time!",positive,twitter
Taking away my xbox360. In to the garbage can. ,negative,twitter
"@jesszlatos you miss me? oh really huh..haha! i miss you too. i miss you so much jess!  even though i want to get on,i really cant..(",negative,twitter
"Finally arrived at work, kids everywhere for transformers 2, popcorn everywhere !!! 10hrs of pure joy awaits ",negative,twitter
http://tinyurl.com/m5manq - please view my video ,positive,twitter
Holy f n s i just hydroplaned at 72 mph ,positive,twitter
http://twitpic.com/6asxt - yaaay shore ,positive,twitter
"@monamade oh, thank you for that. ",positive,twitter
 sick and I hate it.,negative,twitter
"Going to get soaked this morning so only going to do half my usual distance,i Hate cycling in the rain,wind oh and the Dark too!! ",positive,twitter
ADAM FANS: http://adamofficial.com/home SIGN UP! ,positive,twitter
@susysu  Agreed.  ,positive,twitter
(@JMBuckett) Oh snap... kinda nuts right now... @basedmagazine:  I've told at least 27  Thanks babes.,positive,twitter
@mattgemmell As a regular user: It's just &quot;one feature&quot; upgrade  I didn't noticed major speed improvements.,positive,twitter
loves her weirdo friends. ,positive,twitter
Dads mad sick n goin 2 da hospital ,negative,twitter
I'm at the dentist and I'm bored  brite side: my teeth are clean now! not that they weren't before... cleaner.,positive,twitter
"Lmao, no it wasn't sex! You had me rolling, it was a real workout seriously, like at the gym ",positive,twitter
@polonapajk What!?!? WTF ,positive,twitter
Great time with fam in LR! Heading back to nwa for a crazy work week ,negative,twitter
I hate buying this ugly shoes just because I have to ,negative,twitter
"@lenartr I use Y!Pipes to personalize my RSS feeds; but sure, this would be a good option for &quot;normal&quot; users ",positive,twitter
mama dukes packed me lunch today! hahaha that hasn't happend in yrs. i'm too old for that...but i'm not complaining. almost lunch time ,positive,twitter
@TanyaLovesMikey Does that mean you will be joining me? ,positive,twitter
@sugamama2009 I know  It's blowing me. Weather is WAY to unpredictable ,negative,twitter
"The 1983 BBC production of ""Jane Eyre"" starring Zelah Clarke and Timothy Dalton (LOVE HIM) has always been and will always be my favorite Jane Eyre. If you watch any other version of Jane Eyre without reading the book, it will be like watching some regular movie which you will forget the next day. But watching this one almost equals to reading the book. I used to watch these miniseries a lot when I was little, and they inspired me to read the book. At the time I didn't pay attention to how close this television production was to the book. Recently, I watched the 1996 version of Jane Eyre and was very disappointed. It was only 2 hours long and didn't have many important scenes from the book (such as my favorite gypsy scene). After that I fell in love with This ""Jane Eyre"" even more because it includes all the important scenes of the book and it just tells the whole story( the other versions don't, if you haven't read the book). <br /><br />The cast of 1983 Jane Eyre is excellent. It's true that Timothy Dalton is a very handsome actor (handsome enough to play Butler in ""Scarlet"", and Julius Caesar), but he is so great as Rochester that I can't imagine anybody else playing this role. And Zelah Clarke is, without a doubt, the only Jane that follows the description of the book. The other thing that makes this film so great is the clothes and the makeup of the actors. Jane looks so modest and naive, just as Bronte describes her (although she doesn't look 18, but do you actually pay attention to that?...) <br /><br />Some people say that this ""Jane Eyre"" is too long, but I would rather spend my whole day watching it than spend 2 hours watching some other version. Some say the movie is dull and boring because Jane is not passionate enough, or because there are not enough ""kissing scenes"". I hate when they make Jane Eyre some ""Hollywood movie"" with inappropriate kissing scenes. You don't have to include ""crazy, madly in love"" scenes to show the love between Jane and Rochester. And both Zelah and Timothy express this love so perfectly that there are no other scenes needed!! I am 19 years old, and many girls of my age refer to this film as ""boring and old-fashioned"". But I can only feel sorry for them because they don't appreciate the purity and beauty of it. After all, the novel is set in 19th century, and that old-fashioned look makes it more attractive and more like the book. <br /><br />I don't think there will ever be any other version of Jane Ayre that will have the popularity and love of this one. No matter who plays Jane and Rochester in other movies, the real Jane and Rochester (for me at least) will always be Zelah Clarke and Timothy Dalton!",positive,imdb
@shaundiviney http://twitpic.com/6qii4 - omg Bradie is soooo adorableeeee. I wanna eat him all up ,positive,twitter
Got my iphone and have to call Apple - just like the first one. Once they're activated; they're great.  ,negative,twitter
@badbanana They're kooky.  That was a great tweet... ,positive,twitter
I feel really sick right now....I'm freezing and achey and just don't feel too terribly good ,negative,twitter
"Carnosaur 3 is bad... awfully bad. Bad to the point where it is funny. How matter how much I try to convince myself, I just can't believe anyone in this world could find this entertaining for serious reasons. I mean, come on, even the cover is bad! OK, the special effects are absolutely ridiculous. Those ""Carnosaurs"" are really ridiculous. A scientist tells the soldiers that they move incredibly fast, yet when you see them run, they run at the speed of... an actor in a rubber suit trying to run as much as he can. And the explosions are funny(there is no other word to describe it). At the beginning, a bullet hits a Jeep AFTER a guys says ""What was that?""... And the other explosions are also laughable. But the worst thing is the screenplay and the so-called story. You don't expect a good story(or, I don't think anyone renting this movie expects a good movie) but at least the story has to try to make sense. I mean, how hard is it to make a story about dinosaurs killing people at least coherent. Incredibly hard if you look at this. Oh, and if you think that it's easy to makes believable commandos as your characters, tell it to the writers of this awful, awful piece of crap. I mean, what sick human being would make cheap jokes after one of his buddies is dead? And they do lots of it. And if you think that a movie about dinosaurs killing soldiers can only be at least action-packed, WAKE UP!!! This movie is incredibly dull. The carnosaurs(who invented this lame name anyway?) attack(in boring action sequences where you don't see much happening). The soldiers think of how to beat them(in incredibly funny scenes where they try real hard to be serious but can't seem to convince even just one second). So, then, they attack the carnosaurs, but their idea doesn't work(another laughable action sequence). Back to planning(with a few lame jokes thrown in) in another ridiculous scene. And this goes on, and on, and on. And let's not forget the acting which is about as convincing as the special effects... and the story... Oh OK, this movie simply sucks from A to Z.<br /><br />",negative,imdb
"@ssowy instead of 3.5mm headphone jack, usb to PC. this *should* sound better than an analog connector right? ",positive,twitter
"well im off to take the hell test, also known as the SAT. ",negative,twitter
I'm so exhausted.  and I think you're about to let me down. ,negative,twitter
Keeping myself busy at work. Tonight nothing special planned ,positive,twitter
@kelli_h Thanks for spreading the word about gooseGrade!  #followfriday,positive,twitter
"Good luck @mitdoq !! Btw, I'm telling you to both dl it, and THEN record it for me. I want a chance to enjoy you singing that song ",positive,twitter
YAY!finally summer!but ofcourse Im going to work today.... ,negative,twitter
Is going to lunch with the hubby ,positive,twitter
@reply S. Africa's absolutely horrendous rape stats: http://bit.ly/UXsoz . WTF? Sickening. ,negative,twitter
"Preparing our triathlon event in Darmstadt, close to Frankfurt. We're happy and very proud to present Carboo4U everywhere ",positive,twitter
Now Im relaxing&amp;working on some homework hit me up if you wanna talk ,positive,twitter
"@trucklover: Installing software on Ubuntu is not normally so anal. Once you've got the hang of it, there'll be no looking back. ",positive,twitter
